Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/15,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
