Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/14/20,0.579440883,2.168642297,1.7,-0.108571429,3.388433982,0.00%,0.059938743,4.817924124,2.640255007,,,9,,,
1/15/20,0.599082791,1.719688616,1.7,-0.108571429,3.388433982,0.00%,0.154917061,2.028498974,2.715824552,,,9,,,
1/16/20,0.60585736,2.340638088,1.7,-0.108571429,3.388433982,0.00%,0.160256813,2.173941654,2.685149857,,,9,,,
1/17/20,0.578645491,2.845419847,1.7,-0.108571429,3.388433982,0.00%,0.133895282,2.355585575,2.650007152,,,9,,,
1/21/20,0.580926558,3.085124687,1.7,-0.108571429,3.388433982,0.00%,0.101516004,2.237593713,3.197078847,,,9,,,
1/22/20,0.572110514,2.912864467,1.7,-0.108571429,3.388433982,0.00%,0.138189845,1.746202995,3.10660431,,,9,,,
1/23/20,0.563755244,2.710150444,1.7,-0.108571429,3.388433982,0.00%,0.109573582,2.286523084,2.952056606,,,9,,,
1/24/20,0.555458723,2.588822893,1.7,-0.108571429,3.388433982,0.00%,0.078772003,3.050832685,3.291305991,,,9,,,
1/27/20,0.529490378,2.084162881,1.7,-0.108571429,3.388433982,0.00%,0.119160574,1.722634337,3.709799608,,,9,,,
1/28/20,0.534395221,2.184049065,1.7,-0.108571429,3.388433982,0.00%,0.147502603,1.986626226,2.779229781,,,9,,,
1/29/20,0.565714901,2.054966651,1.7,-0.108571429,3.388433982,0.00%,0.259270604,1.416377905,2.373416561,,,9,,,
1/30/20,0.565611063,2.237160444,1.7,-0.108571429,3.388433982,0.00%,0.192805783,1.734539691,2.429407722,,,9,,,
1/31/20,0.580693563,2.379989595,1.7,-0.108571429,3.388433982,0.00%,0.131618249,2.135652146,2.704559953,,,9,,,
2/3/20,0.580370148,2.317946566,1.7,-0.108571429,3.388433982,0.00%,0.154859335,2.19338038,2.152267954,,,9,,,
2/4/20,0.581529735,2.259577076,1.7,-0.108571429,3.388433982,0.00%,0.184914257,1.875915508,2.156235767,,,9,,,
2/5/20,0.568856747,2.124195407,1.7,-0.108571429,3.388433982,0.00%,0.216275917,1.794038677,2.06250601,,,9,,,
